user_id,gender,daily_screen_time_hours,addiction_risk_level
6015,Female,8.91,Low
15335,Other,5.53,Low
16057,Female,7.27,Low
14599,Male,3.91,Low
2397,Female,2.31,Low
15310,Other,4.7,Low
10881,Female,6.9,Low
16286,Female,5.4,Low
10861,Female,8.0,Low
1674,Female,5.8,Low
9914,Other,4.52,Low
11793,Female,6.44,Low
1722,Other,8.67,Low
11416,Male,5.03,Low
20257,Other,3.54,Low
6191,Female,6.91,Low
17443,Other,7.42,Low
2236,Female,5.75,Low
9370,Male,4.24,Low
13991,Female,9.87,Low
15535,Female,6.51,Low
18811,Male,7.49,Low
13002,Male,7.98,Low
12282,Male,5.7,Low
10451,Other,6.91,Low
253,Male,5.54,Low
14970,Female,7.33,Low
24758,Other,4.4,Low
6093,Male,3.22,Low
12291,Other,6.06,Low
12601,Male,6.58,Low
16195,Male,6.51,Low
11261,Male,5.25,Low
20132,Female,5.73,Low
1549,Other,1.96,Low
7228,Other,8.82,Low
24023,Female,8.1,Low
6186,Other,8.99,Low
4086,Female,4.64,Low
13045,Female,2.7,Low
24059,Other,6.9,Low
22776,Other,10.09,Low
24648,Other,6.84,Low
22536,Female,1.43,Low
2748,Male,8.23,Low
864,Female,10.15,Low
6814,Other,6.11,Low
12339,Male,1.77,Low
10642,Male,8.52,Low
21080,Male,3.12,Low
18439,Female,4.0,Low
22198,Female,5.86,Low
20227,Male,5.8,Low
19329,Other,8.53,Low
23928,Male,5.01,Low
21925,Female,4.82,Low
19017,Female,5.83,Low
9733,Male,8.0,Low
4280,Other,3.96,Low
10688,Other,7.36,Low
21143,Female,10.77,Low
23347,Male,4.49,Low
6251,Male,5.75,Low
20106,Male,3.15,Low
19434,Male,4.99,Low
20779,Other,6.74,Low
5242,Other,5.5,Low
9358,Female,8.53,Low
23894,Other,2.42,Low
22163,Female,5.63,Low
2661,Male,8.75,Low
10072,Male,4.95,Low
15876,Male,5.42,Low
15008,Male,5.72,Low
12618,Male,7.13,Low
24630,Other,7.8,Low
18088,Male,4.0,Low
13268,Female,7.64,Low
16576,Female,8.32,Low
5902,Female,5.41,Low
20641,Female,10.55,Low
23173,Male,3.53,Low
9313,Other,4.98,Low
9840,Other,7.11,Low
972,Other,6.22,Low
11447,Female,8.58,Low
11434,Female,3.03,Low
558,Male,5.23,Low
20943,Female,6.75,Low
24964,Male,5.52,Low
24919,Other,6.37,Low
4860,Other,7.34,Low
21,Male,5.72,Low
9040,Other,4.54,Low
18800,Other,5.18,Low
24977,Other,6.95,Low
4228,Male,8.51,Low
558,Other,5.31,Low
10473,Male,7.8,Low
14793,Female,8.04,Low
21782,Other,4.73,Low
432,Male,6.89,Low
15694,Other,4.53,Low
17840,Female,5.55,Low
17453,Female,8.19,Low
5198,Female,6.86,Low
15636,Male,5.22,Low
7062,Male,11.21,Low
14299,Male,7.66,Low
16554,Other,8.15,Low
4668,Male,6.45,Low
17287,Other,5.29,Low
12610,Other,6.2,Low
7778,Male,5.11,Low
7159,Male,8.21,Low
12448,Female,8.47,Low
21591,Female,5.45,Low
3848,Other,4.33,Low
17373,Female,1.66,Low
7217,Male,11.22,Low
11642,Other,7.95,Low
15005,Male,4.41,Low
3212,Other,3.21,Low
22883,Female,4.66,Low
9082,Other,6.76,Low
19292,Other,6.64,Low
12526,Female,7.38,Low
3180,Female,6.18,Low
19906,Female,5.77,Low
16010,Other,7.13,Low
1029,Male,2.69,Low
23015,Male,7.16,Low
9592,Female,8.04,Low
14468,Other,6.78,Low
7897,Male,5.17,Low
709,Male,4.92,Low
3353,Female,8.27,Low
22304,Other,6.8,Low
12671,Male,8.09,Low
890,Male,7.57,Low
9267,Other,6.2,Low
16322,Male,6.52,Low
19477,Other,3.8,Low
8411,Female,4.6,Low
10326,Other,6.63,Low
14218,Female,8.2,Low
18681,Female,7.8,Low
3569,Female,4.52,Low
14347,Male,3.77,Low
19321,Female,5.25,Low
14968,Female,6.43,Low
20724,Other,5.06,Low
24391,Female,5.44,Low
7775,Male,4.91,Low
12698,Other,7.99,Low
11900,Other,5.29,Low
19972,Male,2.23,Low
7117,Other,6.95,Low
9750,Male,8.65,Low
13414,Male,0.53,Low
20249,Other,4.04,Low
21049,Other,4.85,Low
17897,Female,5.51,Low
24334,Male,4.98,Low
17967,Male,4.48,Low
14299,Male,7.34,Low
1348,Other,4.77,Low
12391,Other,6.03,Low
14485,Female,6.87,Low
16712,Other,6.1,Low
11395,Male,4.65,Low
7583,Female,5.2,Low
15211,Other,5.92,Low
2552,Male,4.61,Low
12721,Other,10.97,Low
24060,Female,7.36,Low
24547,Other,8.36,Low
22796,Female,2.07,Low
22466,Other,5.66,Low
14944,Male,7.44,Low
1246,Other,6.18,Low
5622,Male,6.98,Low
24380,Other,6.39,Low
22787,Other,5.08,Low
12118,Male,6.79,Low
13911,Male,4.93,Low
1210,Male,5.5,Low
16059,Female,7.3,Low
2101,Other,5.94,Low
18948,Female,8.74,Low
9832,Female,5.1,Low
24326,Male,5.77,Low
19058,Other,8.36,Low
1212,Other,7.81,Low
6703,Other,5.27,Low
12655,Female,7.62,Low
21124,Male,6.86,Low
15507,Other,6.2,Low
19669,Female,6.38,Low
3063,Other,8.05,Low
11825,Other,5.53,Low
5870,Male,8.1,Low
24676,Other,5.15,Low
11766,Female,6.2,Low
9729,Female,6.08,Low
15303,Male,6.77,Low
4554,Male,3.33,Low
12926,Female,6.16,Low
7657,Male,5.54,Low
8965,Male,3.41,Low
15389,Male,7.23,Low
21920,Female,8.03,Low
5905,Female,7.6,Low
3496,Other,6.69,Low
9634,Other,6.98,Low
7300,Other,7.68,Low
22961,Female,6.96,Low
21053,Other,5.02,Low
24305,Other,5.72,Low
15970,Female,5.09,Low
6181,Male,4.51,Low
9436,Other,6.89,Low
24251,Other,3.55,Low
14809,Female,3.62,Low
2425,Male,4.83,Low
11474,Other,4.52,Low
4817,Female,5.89,Low
7763,Male,6.61,Low
24641,Other,3.56,Low
1100,Other,4.28,Low
14675,Female,5.01,Low
24087,Other,6.98,Low
196,Male,4.27,Low
20142,Other,7.41,Low
9931,Female,6.48,Low
17796,Female,3.83,Low
330,Male,3.52,Low
4634,Female,7.65,Low
21943,Male,5.42,Low
12926,Male,6.27,Low
7562,Female,6.09,Low
14930,Male,5.11,Low
4077,Male,6.94,Low
11668,Male,9.58,Low
15586,Female,6.69,Low
8464,Male,7.9,Low
22519,Female,5.71,Low
16245,Male,8.49,Low
6332,Female,5.99,Low
21171,Male,6.99,Low
14035,Female,9.74,Low
10734,Female,7.74,Low
12479,Other,4.95,Low
3258,Other,4.99,Low
19456,Other,9.8,Low
6367,Other,5.47,Low
10226,Other,8.14,Low
2365,Other,10.26,Low
6570,Female,6.61,Low
24326,Other,8.2,Low
21559,Other,6.33,Low
828,Female,5.21,Low
4038,Female,4.5,Low
21227,Female,10.58,Low
4211,Male,4.84,Low
9174,Male,5.43,Low
3072,Female,6.1,Low
20805,Male,7.78,Low
7942,Other,0.61,Low
23172,Female,8.12,Low
9552,Other,4.68,Low
14500,Other,3.73,Low
13503,Female,5.73,Low
6309,Other,9.36,Low
21342,Other,5.54,Low
10612,Other,5.78,Low
8253,Other,6.87,Low
8424,Other,5.0,Low
10341,Female,1.06,Low
6081,Other,7.98,Low
16287,Other,5.37,Low
19311,Female,5.97,Low
9397,Other,5.14,Low
2470,Male,4.12,Low
9860,Male,5.9,Low
20735,Other,6.0,Low
10688,Male,7.24,Low
19536,Male,2.57,Low
10901,Male,6.5,Low
4258,Other,4.1,Low
17892,Other,4.87,Low
1876,Other,4.07,Low
18121,Other,7.27,Low
20053,Male,11.12,Low
9303,Female,4.32,Low
21742,Other,7.79,Low
24170,Male,6.48,Low
3305,Female,1.63,Low
10935,Other,5.59,Low
8192,Other,7.92,Low
21673,Female,6.01,Low
20002,Other,4.22,Low
20462,Other,8.39,Low
2151,Male,4.86,Low
14561,Female,4.24,Low
24512,Female,2.3,Low
9649,Other,7.18,Low
7771,Other,6.77,Low
12693,Female,6.23,Low
16711,Male,10.18,Low
17192,Female,4.31,Low
5648,Other,8.8,Low
1548,Other,2.64,Low
11014,Other,7.46,Low
13189,Male,4.9,Low
10359,Female,4.35,Low
10251,Other,4.81,Low
13489,Female,8.63,Low
12744,Other,6.13,Low
4886,Other,6.53,Low
19538,Female,6.47,Low
16827,Other,4.56,Low
6121,Female,4.86,Low
6265,Female,5.95,Low
16884,Male,5.11,Low
18853,Female,5.81,Low
3399,Female,3.91,Low
6106,Other,6.0,Low
7414,Male,4.05,Low
13583,Female,2.51,Low
12727,Other,2.65,Low
10699,Female,3.42,Low
18894,Female,3.87,Low
19727,Male,6.37,Low
15437,Female,7.68,Low
3644,Other,6.29,Low
4252,Other,8.06,Low
17141,Female,5.05,Low
8311,Male,3.83,Low
7802,Female,6.39,Low
2021,Female,3.5,Low
15151,Other,4.77,Low
4628,Female,3.94,Low
4722,Other,6.18,Low
4021,Female,7.01,Low
13505,Female,5.9,Low
16976,Other,6.62,Low
18369,Female,3.51,Low
2256,Other,7.57,Low
2177,Other,1.59,Low
21848,Other,10.52,Low
12496,Male,4.27,Low
22856,Male,7.94,Low
12601,Other,1.77,Low
18443,Female,2.76,Low
14450,Male,5.32,Low
16260,Other,6.52,Low
19849,Other,4.97,Low
23472,Other,4.28,Low
21174,Other,7.61,Low
14059,Other,9.93,Low
19204,Male,6.03,Low
6964,Female,4.6,Low
20729,Female,3.78,Low
19927,Other,5.73,Low
5284,Male,7.76,Low
8409,Female,9.25,Low
4841,Female,8.53,Low
5161,Other,7.15,Low
7655,Female,3.95,Low
18910,Male,5.98,Low
934,Other,10.49,Low
16915,Other,6.12,Low
21356,Other,4.06,Low
10847,Female,7.76,Low
7414,Female,6.63,Low
1246,Female,5.91,Low
4504,Female,8.71,Low
21413,Female,3.0,Low
11064,Male,10.07,Low
7116,Other,8.71,Low
24053,Male,6.45,Low
16099,Other,4.98,Low
1831,Female,8.13,Low
17397,Female,5.17,Low
5963,Other,6.52,Low
12154,Female,6.01,Low
18674,Other,5.61,Low
22808,Male,4.39,Low
19284,Female,5.36,Low
9455,Male,5.97,Low
113,Other,4.0,Low
16140,Male,7.07,Low
3274,Other,4.51,Low
19534,Other,5.73,Low
6051,Male,6.45,Low
14362,Male,5.94,Low
20894,Female,5.45,Low
21979,Male,5.5,Low
4675,Female,4.07,Low
23281,Other,8.57,Low
17304,Female,2.59,Low
23908,Male,7.0,Low
8645,Other,8.64,Low
21416,Male,7.96,Low
1884,Male,8.23,Low
5228,Female,8.28,Low
18822,Other,7.28,Low
1374,Other,2.48,Low
6874,Female,4.23,Low
1793,Male,8.53,Low
6520,Female,0.5,Low
9635,Other,7.74,Low
11687,Other,4.8,Low
2856,Female,3.12,Low
5554,Male,7.59,Low
6818,Female,2.2,Low
18275,Male,7.96,Low
19562,Other,3.69,Low
2775,Female,5.77,Low
13061,Female,9.17,Low
19860,Male,3.8,Low
17225,Other,5.2,Low
11407,Female,8.15,Low
5295,Female,6.51,Low
9925,Female,3.77,Low
4393,Female,4.4,Low
9797,Other,7.74,Low
3127,Male,7.2,Low
4108,Female,8.4,Low
2339,Female,8.88,Low
23089,Female,9.87,Low
10295,Female,3.62,Low
16446,Male,8.56,Low
8081,Male,6.15,Low
5955,Female,4.99,Low
3255,Male,8.15,Low
11220,Other,11.05,Low
11152,Male,6.07,Low
11318,Female,4.5,Low
19769,Female,5.42,Low
17668,Other,7.24,Low
18820,Male,5.33,Low
4749,Male,7.67,Low
19452,Male,7.58,Low
22957,Male,9.47,Low
24195,Female,8.97,Low
21356,Female,5.04,Low
2445,Female,7.6,Low
14511,Female,6.64,Low
16271,Male,6.01,Low
7705,Female,7.3,Low
447,Male,5.72,Low
1980,Other,6.04,Low
2818,Female,7.06,Low
10575,Female,8.77,Low
8938,Male,6.24,Low
6997,Other,4.38,Low
1273,Male,2.52,Low
14839,Other,10.61,Low
13097,Female,6.08,Low
23778,Other,7.87,Low
2650,Male,5.4,Low
24739,Male,7.25,Low
22259,Male,8.08,Low
2348,Female,4.77,Low
24119,Female,8.09,Low
5853,Other,3.21,Low
10217,Female,7.0,Low
18431,Male,3.62,Low
4474,Female,7.36,Low
19485,Male,3.33,Low
17896,Male,5.94,Low
20880,Other,5.23,Low
3454,Other,6.66,Low
24235,Female,8.87,Low
24162,Female,6.01,Low
13409,Male,7.07,Low
11717,Other,8.56,Low
742,Male,7.82,Low
552,Other,6.4,Low
23744,Female,5.05,Low
4884,Male,4.92,Low
19738,Male,2.81,Low
12164,Other,5.24,Low
6079,Female,2.73,Low
3165,Other,5.36,Low
6815,Male,8.04,Low
1391,Male,10.83,Low
20165,Other,7.61,Low
9700,Other,9.7,Low
11106,Female,6.97,Low
1863,Male,4.7,Low
13778,Other,2.76,Low
5318,Male,5.85,Low
7590,Female,4.64,Low
15215,Female,4.75,Low
9112,Other,4.49,Low
10154,Other,5.39,Low
19601,Female,3.87,Low
10679,Male,9.94,Low
20225,Other,5.94,Low
11061,Other,6.45,Low
6094,Female,4.63,Low
5905,Other,5.51,Low
21,Other,5.37,Low
17360,Female,5.86,Low
15781,Male,4.27,Low
24055,Female,7.37,Low
1933,Female,8.43,Low
21476,Other,6.81,Low
6683,Other,4.86,Low
8771,Female,6.05,Low
104,Other,7.89,Low
6240,Male,7.37,Low
13725,Male,3.18,Low
12867,Other,6.76,Low
24275,Other,4.96,Low
2169,Male,6.19,Low
20949,Male,4.44,Low
6970,Other,7.68,Low
15195,Female,5.92,Low
10218,Male,3.85,Low
16447,Female,8.66,Low
19768,Female,6.42,Low
11026,Male,10.06,Low
10921,Female,8.03,Low
21352,Other,3.88,Low
4860,Male,4.06,Low
14084,Female,4.74,Low
11618,Female,6.32,Low
13526,Female,5.0,Low
7430,Other,10.28,Low
3519,Male,7.05,Low
3534,Female,6.68,Low
1937,Other,9.76,Low
2219,Male,5.42,Low
403,Female,5.59,Low
21264,Other,5.03,Low
19791,Female,4.59,Low
14764,Male,8.06,Low
17450,Male,6.27,Low
10868,Female,4.65,Low
14788,Other,8.77,Low
14084,Male,3.9,Low
16536,Male,6.73,Low
21723,Male,7.3,Low
8774,Other,6.84,Low
8304,Male,6.25,Low
14736,Female,3.55,Low
24457,Other,6.26,Low
7901,Female,8.14,Low
378,Other,5.17,Low
16256,Other,2.98,Low
15865,Other,4.91,Low
12247,Male,6.62,Low
14957,Other,7.34,Low
15114,Other,6.96,Low
21002,Male,6.23,Low
16136,Female,6.42,Low
23344,Male,4.18,Low
1595,Female,6.78,Low
20786,Other,4.84,Low
24928,Other,5.47,Low
23705,Male,4.13,Low
5385,Female,5.06,Low
22163,Male,9.61,Low
19960,Other,7.75,Low
21987,Other,5.76,Low
19914,Female,4.32,Low
23340,Other,6.6,Low
19900,Male,10.75,Low
6187,Female,9.23,Low
18177,Other,7.73,Low
10430,Male,6.01,Low
17872,Male,8.22,Low
10839,Female,8.1,Low
9266,Other,7.03,Low
14481,Male,5.71,Low
3481,Other,5.38,Low
4428,Female,7.69,Low
13794,Male,4.79,Low
18924,Other,4.84,Low
15360,Male,5.35,Low
9266,Male,4.33,Low
6956,Female,3.46,Low
24462,Other,6.64,Low
18853,Other,4.17,Low
4611,Male,7.61,Low
10769,Male,7.42,Low
1276,Other,4.52,Low
8725,Male,7.06,Low
19459,Female,10.08,Low
19622,Other,4.56,Low
611,Male,5.18,Low
17789,Other,7.81,Low
6208,Other,6.32,Low
2595,Other,5.01,Low
23364,Female,7.29,Low
14574,Female,2.1,Low
19744,Female,4.15,Low
19773,Male,4.25,Low
11009,Male,5.67,Low
6332,Female,7.37,Low
605,Other,7.29,Low
19698,Male,5.78,Low
19117,Female,7.1,Low
15426,Male,2.66,Low
13242,Female,8.28,Low
3690,Male,3.4,Low
22325,Female,3.38,Low
8649,Female,4.93,Low
10381,Other,6.14,Low
13234,Male,6.2,Low
709,Female,6.62,Low
20498,Other,4.93,Low
22289,Other,5.91,Low
20896,Other,9.22,Low
10911,Female,5.5,Low
18151,Other,6.39,Low
576,Male,9.29,Low
18943,Other,6.79,Low
341,Male,4.51,Low
15449,Male,6.85,Low
12624,Male,4.74,Low
3945,Other,8.12,Low
12844,Other,3.1,Low
13811,Other,6.2,Low
806,Male,8.1,Low
23768,Female,3.91,Low
11030,Other,3.49,Low
5266,Female,8.78,Low
15338,Female,6.74,Low
13875,Male,8.8,Low
5248,Female,3.2,Low
61,Other,5.07,Low
24195,Other,7.41,Low
1817,Male,5.59,Low
19556,Male,6.73,Low
12910,Female,7.43,Low
7211,Other,8.97,Low
24538,Female,3.3,Low
8648,Female,5.23,Low
2827,Male,0.5,Low
21547,Other,4.38,Low
9857,Male,6.34,Low
22348,Female,4.84,Low
1324,Female,5.81,Low
10998,Female,8.96,Low
16180,Female,1.79,Low
18860,Male,6.23,Low
4255,Female,4.5,Low
17618,Male,9.23,Low
3941,Male,3.96,Low
21429,Other,5.93,Low
12068,Other,1.39,Low
20064,Other,5.16,Low
6961,Male,5.97,Low
9368,Male,6.1,Low
6942,Male,4.93,Low
14116,Female,5.89,Low
3324,Other,6.47,Low
23223,Other,7.6,Low
18477,Female,1.51,Low
15301,Female,5.8,Low
11652,Other,5.61,Low
8107,Male,5.92,Low
16750,Other,5.61,Low
11749,Female,8.82,Low
3966,Female,4.8,Low
18458,Male,7.1,Low
6334,Other,4.28,Low
21342,Male,6.72,Low
7999,Male,7.28,Low
22936,Other,3.03,Low
9323,Male,3.63,Low
10003,Female,5.74,Low
13448,Other,6.69,Low
15124,Female,9.81,Low
